Expanded Count: 960
Right Bank:  chickens: 65, wolves: 65, boat: 0
Left Bank:  chickens: 33, wolves: 31, boat: 0
Right Bank:  chickens: 66, wolves: 65, boat: 1
Left Bank:  chickens: 34, wolves: 32, boat: 1
Right Bank:  chickens: 65, wolves: 64, boat: 0
Left Bank:  chickens: 33, wolves: 32, boat: 0
Right Bank:  chickens: 66, wolves: 64, boat: 1
Left Bank:  chickens: 35, wolves: 32, boat: 1
Right Bank:  chickens: 64, wolves: 64, boat: 0
Left Bank:  chickens: 34, wolves: 32, boat: 0
Right Bank:  chickens: 65, wolves: 64, boat: 1
Left Bank:  chickens: 35, wolves: 33, boat: 1
Right Bank:  chickens: 64, wolves: 63, boat: 0
Left Bank:  chickens: 34, wolves: 33, boat: 0
Right Bank:  chickens: 65, wolves: 63, boat: 1
Left Bank:  chickens: 36, wolves: 33, boat: 1
Right Bank:  chickens: 63, wolves: 63, boat: 0
Left Bank:  chickens: 35, wolves: 33, boat: 0
Right Bank:  chickens: 64, wolves: 63, boat: 1
Left Bank:  chickens: 36, wolves: 34, boat: 1
Right Bank:  chickens: 63, wolves: 62, boat: 0
Left Bank:  chickens: 35, wolves: 34, boat: 0
Right Bank:  chickens: 64, wolves: 62, boat: 1
Left Bank:  chickens: 37, wolves: 34, boat: 1
Right Bank:  chickens: 62, wolves: 62, boat: 0
Left Bank:  chickens: 36, wolves: 34, boat: 0
Right Bank:  chickens: 63, wolves: 62, boat: 1
Left Bank:  chickens: 37, wolves: 35, boat: 1
Right Bank:  chickens: 62, wolves: 61, boat: 0
Left Bank:  chickens: 36, wolves: 35, boat: 0
Right Bank:  chickens: 63, wolves: 61, boat: 1
Left Bank:  chickens: 38, wolves: 35, boat: 1
Right Bank:  chickens: 61, wolves: 61, boat: 0
Left Bank:  chickens: 37, wolves: 35, boat: 0
Right Bank:  chickens: 62, wolves: 61, boat: 1
Left Bank:  chickens: 38, wolves: 36, boat: 1
Right Bank:  chickens: 61, wolves: 60, boat: 0
Left Bank:  chickens: 37, wolves: 36, boat: 0
Right Bank:  chickens: 62, wolves: 60, boat: 1
Left Bank:  chickens: 39, wolves: 36, boat: 1
Right Bank:  chickens: 60, wolves: 60, boat: 0
Left Bank:  chickens: 38, wolves: 36, boat: 0
Right Bank:  chickens: 61, wolves: 60, boat: 1
Left Bank:  chickens: 39, wolves: 37, boat: 1
Right Bank:  chickens: 60, wolves: 59, boat: 0
Left Bank:  chickens: 38, wolves: 37, boat: 0
Right Bank:  chickens: 61, wolves: 59, boat: 1
Left Bank:  chickens: 40, wolves: 37, boat: 1
Right Bank:  chickens: 59, wolves: 59, boat: 0
Left Bank:  chickens: 39, wolves: 37, boat: 0
Right Bank:  chickens: 60, wolves: 59, boat: 1
Left Bank:  chickens: 40, wolves: 38, boat: 1
Right Bank:  chickens: 59, wolves: 58, boat: 0
Left Bank:  chickens: 39, wolves: 38, boat: 0
Right Bank:  chickens: 60, wolves: 58, boat: 1
Left Bank:  chickens: 41, wolves: 38, boat: 1
Right Bank:  chickens: 58, wolves: 58, boat: 0
Left Bank:  chickens: 40, wolves: 38, boat: 0
Right Bank:  chickens: 59, wolves: 58, boat: 1
Left Bank:  chickens: 41, wolves: 39, boat: 1
Right Bank:  chickens: 58, wolves: 57, boat: 0
Left Bank:  chickens: 40, wolves: 39, boat: 0
Right Bank:  chickens: 59, wolves: 57, boat: 1
Left Bank:  chickens: 42, wolves: 39, boat: 1
Right Bank:  chickens: 57, wolves: 57, boat: 0
Left Bank:  chickens: 41, wolves: 39, boat: 0
Right Bank:  chickens: 58, wolves: 57, boat: 1
Left Bank:  chickens: 42, wolves: 40, boat: 1
Right Bank:  chickens: 57, wolves: 56, boat: 0
Left Bank:  chickens: 41, wolves: 40, boat: 0
Right Bank:  chickens: 58, wolves: 56, boat: 1
Left Bank:  chickens: 43, wolves: 40, boat: 1
Right Bank:  chickens: 56, wolves: 56, boat: 0
Left Bank:  chickens: 42, wolves: 40, boat: 0
Right Bank:  chickens: 57, wolves: 56, boat: 1
Left Bank:  chickens: 43, wolves: 41, boat: 1
Right Bank:  chickens: 56, wolves: 55, boat: 0
Left Bank:  chickens: 42, wolves: 41, boat: 0
Right Bank:  chickens: 57, wolves: 55, boat: 1
Left Bank:  chickens: 44, wolves: 41, boat: 1
Right Bank:  chickens: 55, wolves: 55, boat: 0
Left Bank:  chickens: 43, wolves: 41, boat: 0
Right Bank:  chickens: 56, wolves: 55, boat: 1
Left Bank:  chickens: 44, wolves: 42, boat: 1
Right Bank:  chickens: 55, wolves: 54, boat: 0
Left Bank:  chickens: 43, wolves: 42, boat: 0
Right Bank:  chickens: 56, wolves: 54, boat: 1
Left Bank:  chickens: 45, wolves: 42, boat: 1
Right Bank:  chickens: 54, wolves: 54, boat: 0
Left Bank:  chickens: 44, wolves: 42, boat: 0
Right Bank:  chickens: 55, wolves: 54, boat: 1
Left Bank:  chickens: 45, wolves: 43, boat: 1
Right Bank:  chickens: 54, wolves: 53, boat: 0
Left Bank:  chickens: 44, wolves: 43, boat: 0
Right Bank:  chickens: 55, wolves: 53, boat: 1
Left Bank:  chickens: 46, wolves: 43, boat: 1
Right Bank:  chickens: 53, wolves: 53, boat: 0
Left Bank:  chickens: 45, wolves: 43, boat: 0
Right Bank:  chickens: 54, wolves: 53, boat: 1
Left Bank:  chickens: 46, wolves: 44, boat: 1
Right Bank:  chickens: 53, wolves: 52, boat: 0
Left Bank:  chickens: 45, wolves: 44, boat: 0
Right Bank:  chickens: 54, wolves: 52, boat: 1
Left Bank:  chickens: 47, wolves: 44, boat: 1
Right Bank:  chickens: 52, wolves: 52, boat: 0
Left Bank:  chickens: 46, wolves: 44, boat: 0
Right Bank:  chickens: 53, wolves: 52, boat: 1
Left Bank:  chickens: 47, wolves: 45, boat: 1
Right Bank:  chickens: 52, wolves: 51, boat: 0
Left Bank:  chickens: 46, wolves: 45, boat: 0
Right Bank:  chickens: 53, wolves: 51, boat: 1
Left Bank:  chickens: 48, wolves: 45, boat: 1
Right Bank:  chickens: 51, wolves: 51, boat: 0
Left Bank:  chickens: 47, wolves: 45, boat: 0
Right Bank:  chickens: 52, wolves: 51, boat: 1
Left Bank:  chickens: 48, wolves: 46, boat: 1
Right Bank:  chickens: 51, wolves: 50, boat: 0
Left Bank:  chickens: 47, wolves: 46, boat: 0
Right Bank:  chickens: 52, wolves: 50, boat: 1
Left Bank:  chickens: 49, wolves: 46, boat: 1
Right Bank:  chickens: 50, wolves: 50, boat: 0
Left Bank:  chickens: 48, wolves: 46, boat: 0
Right Bank:  chickens: 51, wolves: 50, boat: 1
Left Bank:  chickens: 49, wolves: 47, boat: 1
Right Bank:  chickens: 50, wolves: 49, boat: 0
Left Bank:  chickens: 48, wolves: 47, boat: 0
Right Bank:  chickens: 51, wolves: 49, boat: 1
Left Bank:  chickens: 50, wolves: 47, boat: 1
Right Bank:  chickens: 49, wolves: 49, boat: 0
Left Bank:  chickens: 49, wolves: 47, boat: 0
Right Bank:  chickens: 50, wolves: 49, boat: 1
Left Bank:  chickens: 50, wolves: 48, boat: 1
Right Bank:  chickens: 49, wolves: 48, boat: 0
Left Bank:  chickens: 49, wolves: 48, boat: 0
Right Bank:  chickens: 50, wolves: 48, boat: 1
Left Bank:  chickens: 51, wolves: 48, boat: 1
Right Bank:  chickens: 48, wolves: 48, boat: 0
Left Bank:  chickens: 50, wolves: 48, boat: 0
Right Bank:  chickens: 49, wolves: 48, boat: 1
Left Bank:  chickens: 51, wolves: 49, boat: 1
Right Bank:  chickens: 48, wolves: 47, boat: 0
Left Bank:  chickens: 50, wolves: 49, boat: 0
Right Bank:  chickens: 49, wolves: 47, boat: 1
Left Bank:  chickens: 52, wolves: 49, boat: 1
Right Bank:  chickens: 47, wolves: 47, boat: 0
Left Bank:  chickens: 51, wolves: 49, boat: 0
Right Bank:  chickens: 48, wolves: 47, boat: 1
Left Bank:  chickens: 52, wolves: 50, boat: 1
Right Bank:  chickens: 47, wolves: 46, boat: 0
Left Bank:  chickens: 51, wolves: 50, boat: 0
Right Bank:  chickens: 48, wolves: 46, boat: 1
Left Bank:  chickens: 53, wolves: 50, boat: 1
Right Bank:  chickens: 46, wolves: 46, boat: 0
Left Bank:  chickens: 52, wolves: 50, boat: 0
Right Bank:  chickens: 47, wolves: 46, boat: 1
Left Bank:  chickens: 53, wolves: 51, boat: 1
Right Bank:  chickens: 46, wolves: 45, boat: 0
Left Bank:  chickens: 52, wolves: 51, boat: 0
Right Bank:  chickens: 47, wolves: 45, boat: 1
Left Bank:  chickens: 54, wolves: 51, boat: 1
Right Bank:  chickens: 45, wolves: 45, boat: 0
Left Bank:  chickens: 53, wolves: 51, boat: 0
Right Bank:  chickens: 46, wolves: 45, boat: 1
Left Bank:  chickens: 54, wolves: 52, boat: 1
Right Bank:  chickens: 45, wolves: 44, boat: 0
Left Bank:  chickens: 53, wolves: 52, boat: 0
Right Bank:  chickens: 46, wolves: 44, boat: 1
Left Bank:  chickens: 55, wolves: 52, boat: 1
Right Bank:  chickens: 44, wolves: 44, boat: 0
Left Bank:  chickens: 54, wolves: 52, boat: 0
Right Bank:  chickens: 45, wolves: 44, boat: 1
Left Bank:  chickens: 55, wolves: 53, boat: 1
Right Bank:  chickens: 44, wolves: 43, boat: 0
Left Bank:  chickens: 54, wolves: 53, boat: 0
Right Bank:  chickens: 45, wolves: 43, boat: 1
Left Bank:  chickens: 56, wolves: 53, boat: 1
Right Bank:  chickens: 43, wolves: 43, boat: 0
Left Bank:  chickens: 55, wolves: 53, boat: 0
Right Bank:  chickens: 44, wolves: 43, boat: 1
Left Bank:  chickens: 56, wolves: 54, boat: 1
Right Bank:  chickens: 43, wolves: 42, boat: 0
Left Bank:  chickens: 55, wolves: 54, boat: 0
Right Bank:  chickens: 44, wolves: 42, boat: 1
Left Bank:  chickens: 57, wolves: 54, boat: 1
Right Bank:  chickens: 42, wolves: 42, boat: 0
Left Bank:  chickens: 56, wolves: 54, boat: 0
Right Bank:  chickens: 43, wolves: 42, boat: 1
Left Bank:  chickens: 57, wolves: 55, boat: 1
Right Bank:  chickens: 42, wolves: 41, boat: 0
Left Bank:  chickens: 56, wolves: 55, boat: 0
Right Bank:  chickens: 43, wolves: 41, boat: 1
Left Bank:  chickens: 58, wolves: 55, boat: 1
Right Bank:  chickens: 41, wolves: 41, boat: 0
Left Bank:  chickens: 57, wolves: 55, boat: 0
Right Bank:  chickens: 42, wolves: 41, boat: 1
Left Bank:  chickens: 58, wolves: 56, boat: 1
Right Bank:  chickens: 41, wolves: 40, boat: 0
Left Bank:  chickens: 57, wolves: 56, boat: 0
Right Bank:  chickens: 42, wolves: 40, boat: 1
Left Bank:  chickens: 59, wolves: 56, boat: 1
Right Bank:  chickens: 40, wolves: 40, boat: 0
Left Bank:  chickens: 58, wolves: 56, boat: 0
Right Bank:  chickens: 41, wolves: 40, boat: 1
Left Bank:  chickens: 59, wolves: 57, boat: 1
Right Bank:  chickens: 40, wolves: 39, boat: 0
Left Bank:  chickens: 58, wolves: 57, boat: 0
Right Bank:  chickens: 41, wolves: 39, boat: 1
Left Bank:  chickens: 60, wolves: 57, boat: 1
Right Bank:  chickens: 39, wolves: 39, boat: 0
Left Bank:  chickens: 59, wolves: 57, boat: 0
Right Bank:  chickens: 40, wolves: 39, boat: 1
Left Bank:  chickens: 60, wolves: 58, boat: 1
